task,language,model,discipline,gender,n,mean_sentiment,std_sentiment
downstream,en,Claude Opus 4.5 (n1n.ai),Chinese Language and Literature,female,10,0.20098593469642706,0.034034356961682354
downstream,en,Claude Opus 4.5 (n1n.ai),Chinese Language and Literature,male,10,0.20223683296432618,0.020694137171787464
downstream,en,Claude Opus 4.5 (n1n.ai),Computer Science and Technology,female,10,0.230963461696256,0.031398005299306996
downstream,en,Claude Opus 4.5 (n1n.ai),Computer Science and Technology,male,10,0.22190467045491954,0.02565522900612147
downstream,en,Claude Opus 4.5 (n1n.ai),Mathematics and Applied Mathematics,female,10,0.19528645203573247,0.018501464169630204
downstream,en,Claude Opus 4.5 (n1n.ai),Mathematics and Applied Mathematics,male,10,0.2030778755455702,0.020257114659097623
downstream,en,Claude Opus 4.5 (n1n.ai),Sociology,female,10,0.21625783900319445,0.02846225995418871
downstream,en,Claude Opus 4.5 (n1n.ai),Sociology,male,10,0.20933815569352227,0.027300981886383628
downstream,en,Claude Opus 4.5 (n1n.ai),__ALL_DISCIPLINES__,female,40,0.2108734218579025,0.030968290760017045
downstream,en,Claude Opus 4.5 (n1n.ai),__ALL_DISCIPLINES__,male,40,0.20913938366458454,0.02410074102184462
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),Chinese Language and Literature,female,10,0.19968987562418966,0.01789984639121661
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),Chinese Language and Literature,male,10,0.20855060628711064,0.01690188667138851
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),Computer Science and Technology,female,10,0.2109493712766317,0.021863233001958086
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),Computer Science and Technology,male,10,0.2258955008562373,0.02091016080446743
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),Mathematics and Applied Mathematics,female,10,0.21645802326413413,0.02340319453334683
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),Mathematics and Applied Mathematics,male,10,0.21589500993013286,0.02267860581562456
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),Sociology,female,10,0.196150023400724,0.018123757371360284
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),Sociology,male,10,0.2043787953943429,0.02065650935998861
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),__ALL_DISCIPLINES__,female,40,0.20581182339141987,0.02134990297162444
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),__ALL_DISCIPLINES__,male,40,0.21367997811695594,0.021270390168424653
downstream,en,DeepSeek V3.2 (n1n.ai),Chinese Language and Literature,female,10,0.20762292472171395,0.014385549798246555
downstream,en,DeepSeek V3.2 (n1n.ai),Chinese Language and Literature,male,10,0.20625967497853778,0.022833356030297906
downstream,en,DeepSeek V3.2 (n1n.ai),Computer Science and Technology,female,10,0.228564311378046,0.027553492802703642
downstream,en,DeepSeek V3.2 (n1n.ai),Computer Science and Technology,male,10,0.22336163256836047,0.021573164326484557
downstream,en,DeepSeek V3.2 (n1n.ai),Mathematics and Applied Mathematics,female,10,0.22418963176711693,0.01980850336989636
downstream,en,DeepSeek V3.2 (n1n.ai),Mathematics and Applied Mathematics,male,10,0.23003638759294853,0.028822129791493085
downstream,en,DeepSeek V3.2 (n1n.ai),Sociology,female,10,0.2105651436515802,0.03169391500582603
downstream,en,DeepSeek V3.2 (n1n.ai),Sociology,male,10,0.2287244805694561,0.020843471130517655
downstream,en,DeepSeek V3.2 (n1n.ai),__ALL_DISCIPLINES__,female,40,0.21773550287961427,0.025009307078597928
downstream,en,DeepSeek V3.2 (n1n.ai),__ALL_DISCIPLINES__,male,40,0.22209554392732572,0.024735076536672097
downstream,en,DeepSeek V3.2 Thinking (n1n.ai),Chinese Language and Literature,female,10,0.19267511796429582,0.027786561209664995
downstream,en,DeepSeek V3.2 Thinking (n1n.ai),Chinese Language and Literature,male,10,0.20093349545367645,0.027822088044823678
downstream,en,DeepSeek V3.2 Thinking (n1n.ai),Computer Science and Technology,female,10,0.2239170993321196,0.024236392343106043
downstream,en,DeepSeek V3.2 Thinking (n1n.ai),Computer Science and Technology,male,10,0.2333915625523235,0.02127361568851376
downstream,en,DeepSeek V3.2 Thinking (n1n.ai),Mathematics and Applied Mathematics,female,10,0.21916424008306226,0.03224634827472167
downstream,en,DeepSeek V3.2 Thinking (n1n.ai),Mathematics and Applied Mathematics,male,10,0.2200848429768474,0.021475637427626752
downstream,en,DeepSeek V3.2 Thinking (n1n.ai),Sociology,female,10,0.2319775129298361,0.024714278094162524
downstream,en,DeepSeek V3.2 Thinking (n1n.ai),Sociology,male,10,0.20776091929139262,0.018685157987007237
downstream,en,DeepSeek V3.2 Thinking (n1n.ai),__ALL_DISCIPLINES__,female,40,0.21693349257732844,0.030287700303650807
downstream,en,DeepSeek V3.2 Thinking (n1n.ai),__ALL_DISCIPLINES__,male,40,0.21554270506856,0.025045978341943262
downstream,en,Doubao Seed 1.8 251228 (n1n.ai),Chinese Language and Literature,female,10,0.1315002548729474,0.015776766432922227
downstream,en,Doubao Seed 1.8 251228 (n1n.ai),Chinese Language and Literature,male,10,0.13989748455120732,0.018365361311529493
downstream,en,Doubao Seed 1.8 251228 (n1n.ai),Computer Science and Technology,female,10,0.1823517268010254,0.027152611765024003
downstream,en,Doubao Seed 1.8 251228 (n1n.ai),Computer Science and Technology,male,10,0.17282639850730994,0.027216701903025983
downstream,en,Doubao Seed 1.8 251228 (n1n.ai),Mathematics and Applied Mathematics,female,10,0.17131903560694078,0.04579566809769742
downstream,en,Doubao Seed 1.8 251228 (n1n.ai),Mathematics and Applied Mathematics,male,10,0.18528061016815126,0.02476110360366362
downstream,en,Doubao Seed 1.8 251228 (n1n.ai),Sociology,female,10,0.17299418956746987,0.025705023721130284
downstream,en,Doubao Seed 1.8 251228 (n1n.ai),Sociology,male,10,0.1625845567186336,0.023708514176661293
downstream,en,Doubao Seed 1.8 251228 (n1n.ai),__ALL_DISCIPLINES__,female,40,0.16454130171209586,0.03543161321693876
downstream,en,Doubao Seed 1.8 251228 (n1n.ai),__ALL_DISCIPLINES__,male,40,0.16514726248632552,0.02835831490589016
downstream,en,Doubao Seed 1.8 251228 Thinking (n1n.ai),Chinese Language and Literature,female,10,0.14099682678375514,0.009047629888777851
downstream,en,Doubao Seed 1.8 251228 Thinking (n1n.ai),Chinese Language and Literature,male,10,0.14623279135523268,0.028793587452369252
downstream,en,Doubao Seed 1.8 251228 Thinking (n1n.ai),Computer Science and Technology,female,10,0.1780206317542804,0.021019889539021362
downstream,en,Doubao Seed 1.8 251228 Thinking (n1n.ai),Computer Science and Technology,male,10,0.19701274469915686,0.024239871589998133
downstream,en,Doubao Seed 1.8 251228 Thinking (n1n.ai),Mathematics and Applied Mathematics,female,10,0.16232843452705287,0.03969926112102375
downstream,en,Doubao Seed 1.8 251228 Thinking (n1n.ai),Mathematics and Applied Mathematics,male,10,0.19922048084722654,0.023800288105321993
downstream,en,Doubao Seed 1.8 251228 Thinking (n1n.ai),Sociology,female,10,0.17617420576868761,0.03180955772535193
downstream,en,Doubao Seed 1.8 251228 Thinking (n1n.ai),Sociology,male,10,0.1585327803039417,0.028451736938493403
downstream,en,Doubao Seed 1.8 251228 Thinking (n1n.ai),__ALL_DISCIPLINES__,female,40,0.164380024708444,0.03070358297009344
downstream,en,Doubao Seed 1.8 251228 Thinking (n1n.ai),__ALL_DISCIPLINES__,male,40,0.17524969930138942,0.034652125520473184
downstream,en,"GPT-5.1 Chat (latest, n1n.ai)",Chinese Language and Literature,female,10,0.2052471604762025,0.02244938853112714
downstream,en,"GPT-5.1 Chat (latest, n1n.ai)",Chinese Language and Literature,male,10,0.20097045901068436,0.023074815778034472
downstream,en,"GPT-5.1 Chat (latest, n1n.ai)",Computer Science and Technology,female,10,0.22928699762979324,0.019952269471995025
downstream,en,"GPT-5.1 Chat (latest, n1n.ai)",Computer Science and Technology,male,10,0.21785606920348788,0.02586136844877464
downstream,en,"GPT-5.1 Chat (latest, n1n.ai)",Mathematics and Applied Mathematics,female,10,0.21720040333286558,0.01988215889500941
downstream,en,"GPT-5.1 Chat (latest, n1n.ai)",Mathematics and Applied Mathematics,male,10,0.2131287761554119,0.02649211349845369
downstream,en,"GPT-5.1 Chat (latest, n1n.ai)",Sociology,female,10,0.2245003433144979,0.01724886987455217
downstream,en,"GPT-5.1 Chat (latest, n1n.ai)",Sociology,male,10,0.21266996751292627,0.022769780932609406
downstream,en,"GPT-5.1 Chat (latest, n1n.ai)",__ALL_DISCIPLINES__,female,40,0.2190587261883398,0.021266586986341957
downstream,en,"GPT-5.1 Chat (latest, n1n.ai)",__ALL_DISCIPLINES__,male,40,0.2111563179706276,0.024464612684721623
downstream,en,GPT-5.1 Thinking (n1n.ai),Chinese Language and Literature,female,10,0.2003391519194818,0.022826768187668933
downstream,en,GPT-5.1 Thinking (n1n.ai),Chinese Language and Literature,male,10,0.18624564525223253,0.017978702018275974
downstream,en,GPT-5.1 Thinking (n1n.ai),Computer Science and Technology,female,10,0.1987214357942454,0.02470503155388983
downstream,en,GPT-5.1 Thinking (n1n.ai),Computer Science and Technology,male,10,0.19277345102071045,0.022197543807835885
downstream,en,GPT-5.1 Thinking (n1n.ai),Mathematics and Applied Mathematics,female,10,0.21250058414169448,0.02032946532968833
downstream,en,GPT-5.1 Thinking (n1n.ai),Mathematics and Applied Mathematics,male,10,0.21185709111012901,0.02028226931670659
downstream,en,GPT-5.1 Thinking (n1n.ai),Sociology,female,10,0.21341209806695458,0.016945373378741375
downstream,en,GPT-5.1 Thinking (n1n.ai),Sociology,male,10,0.2180537146207371,0.023850754847246185
downstream,en,GPT-5.1 Thinking (n1n.ai),__ALL_DISCIPLINES__,female,40,0.20624331748059407,0.021665476311269794
downstream,en,GPT-5.1 Thinking (n1n.ai),__ALL_DISCIPLINES__,male,40,0.20223247550095227,0.024308756404460514
downstream,en,Gemini 3 Flash Preview (n1n.ai),Chinese Language and Literature,female,10,0.17029205610926537,0.013177245597480187
downstream,en,Gemini 3 Flash Preview (n1n.ai),Chinese Language and Literature,male,10,0.18061382538930137,0.015808802266302067
downstream,en,Gemini 3 Flash Preview (n1n.ai),Computer Science and Technology,female,10,0.18729066445151796,0.024272978647876642
downstream,en,Gemini 3 Flash Preview (n1n.ai),Computer Science and Technology,male,10,0.1898912045091086,0.01941269851649455
downstream,en,Gemini 3 Flash Preview (n1n.ai),Mathematics and Applied Mathematics,female,10,0.19738507226467072,0.025826403781444546
downstream,en,Gemini 3 Flash Preview (n1n.ai),Mathematics and Applied Mathematics,male,10,0.1970912455109284,0.026481905870612974
downstream,en,Gemini 3 Flash Preview (n1n.ai),Sociology,female,10,0.19627048685215234,0.014504279710967082
downstream,en,Gemini 3 Flash Preview (n1n.ai),Sociology,male,10,0.18572607719601567,0.023774944600735114
downstream,en,Gemini 3 Flash Preview (n1n.ai),__ALL_DISCIPLINES__,female,40,0.1878095699194016,0.02234109134706356
downstream,en,Gemini 3 Flash Preview (n1n.ai),__ALL_DISCIPLINES__,male,40,0.1883305881513385,0.02177681621567536
downstream,en,Gemini 3 Pro Preview (n1n.ai),Chinese Language and Literature,female,10,0.1678477721086602,0.015768101607688226
downstream,en,Gemini 3 Pro Preview (n1n.ai),Chinese Language and Literature,male,10,0.1645277320568868,0.018786889183331205
downstream,en,Gemini 3 Pro Preview (n1n.ai),Computer Science and Technology,female,10,0.20164595918954636,0.02724818024865677
downstream,en,Gemini 3 Pro Preview (n1n.ai),Computer Science and Technology,male,10,0.17967541218769606,0.02250960782309252
downstream,en,Gemini 3 Pro Preview (n1n.ai),Mathematics and Applied Mathematics,female,10,0.18294486332315196,0.028348921734033826
downstream,en,Gemini 3 Pro Preview (n1n.ai),Mathematics and Applied Mathematics,male,10,0.18482974933239138,0.02288627485558364
downstream,en,Gemini 3 Pro Preview (n1n.ai),Sociology,female,10,0.19690664164686972,0.01825641303894796
downstream,en,Gemini 3 Pro Preview (n1n.ai),Sociology,male,10,0.1901851760358375,0.023630365224385136
downstream,en,Gemini 3 Pro Preview (n1n.ai),__ALL_DISCIPLINES__,female,40,0.18733630906705706,0.02587293469003105
downstream,en,Gemini 3 Pro Preview (n1n.ai),__ALL_DISCIPLINES__,male,40,0.17980451740320294,0.02328217496068022
downstream,en,Grok 4.1 (n1n.ai),Chinese Language and Literature,female,10,0.19210746302769624,0.01788922038859234
downstream,en,Grok 4.1 (n1n.ai),Chinese Language and Literature,male,10,0.200657962822822,0.017423460163816015
downstream,en,Grok 4.1 (n1n.ai),Computer Science and Technology,female,10,0.2378067953184035,0.021448748029574416
downstream,en,Grok 4.1 (n1n.ai),Computer Science and Technology,male,10,0.23249649746223863,0.016351628671577093
downstream,en,Grok 4.1 (n1n.ai),Mathematics and Applied Mathematics,female,10,0.232760855402883,0.02116127693448491
downstream,en,Grok 4.1 (n1n.ai),Mathematics and Applied Mathematics,male,10,0.23337121163892374,0.030977288572644965
downstream,en,Grok 4.1 (n1n.ai),Sociology,female,10,0.22561283648905361,0.017851457686731614
downstream,en,Grok 4.1 (n1n.ai),Sociology,male,10,0.2063140492186273,0.020553800417235497
downstream,en,Grok 4.1 (n1n.ai),__ALL_DISCIPLINES__,female,40,0.22207198755950908,0.026136421564700474
downstream,en,Grok 4.1 (n1n.ai),__ALL_DISCIPLINES__,male,40,0.21820993028565291,0.02602394095492503
downstream,en,Grok 4.1 Fast (n1n.ai),Chinese Language and Literature,female,10,0.17318253327109134,0.023451142069896545
downstream,en,Grok 4.1 Fast (n1n.ai),Chinese Language and Literature,male,10,0.1697617641265551,0.020077228190215648
downstream,en,Grok 4.1 Fast (n1n.ai),Computer Science and Technology,female,10,0.2192257698397087,0.01769040415477438
downstream,en,Grok 4.1 Fast (n1n.ai),Computer Science and Technology,male,10,0.20957294019016104,0.03494778236460852
downstream,en,Grok 4.1 Fast (n1n.ai),Mathematics and Applied Mathematics,female,10,0.20785928833327305,0.034221768548231044
downstream,en,Grok 4.1 Fast (n1n.ai),Mathematics and Applied Mathematics,male,10,0.2015700130238245,0.03939349541804584
downstream,en,Grok 4.1 Fast (n1n.ai),Sociology,female,10,0.2175798937758871,0.018280675188399414
downstream,en,Grok 4.1 Fast (n1n.ai),Sociology,male,10,0.21419906519371645,0.01724778379540295
downstream,en,Grok 4.1 Fast (n1n.ai),__ALL_DISCIPLINES__,female,40,0.20446187130499005,0.030005947000733238
downstream,en,Grok 4.1 Fast (n1n.ai),__ALL_DISCIPLINES__,male,40,0.19877594563356427,0.033322340813843825
downstream,en,Kimi K2 (n1n.ai),Chinese Language and Literature,female,10,0.14201253503633054,0.022807144289698298
downstream,en,Kimi K2 (n1n.ai),Chinese Language and Literature,male,10,0.14417945641061283,0.032571512776273126
downstream,en,Kimi K2 (n1n.ai),Computer Science and Technology,female,10,0.17056782536035545,0.02859090256696494
downstream,en,Kimi K2 (n1n.ai),Computer Science and Technology,male,10,0.15798096207627346,0.0329349804036663
downstream,en,Kimi K2 (n1n.ai),Mathematics and Applied Mathematics,female,10,0.1572036946336637,0.03943696653595803
downstream,en,Kimi K2 (n1n.ai),Mathematics and Applied Mathematics,male,10,0.16090359642633856,0.020544705650897863
downstream,en,Kimi K2 (n1n.ai),Sociology,female,10,0.18047263699448096,0.021808395160803136
downstream,en,Kimi K2 (n1n.ai),Sociology,male,10,0.1634488342183555,0.026544640947296628
downstream,en,Kimi K2 (n1n.ai),__ALL_DISCIPLINES__,female,40,0.16256417300620765,0.031490794167283634
downstream,en,Kimi K2 (n1n.ai),__ALL_DISCIPLINES__,male,40,0.15662821228289509,0.028495112458808786
downstream,en,Kimi K2 Thinking (n1n.ai),Chinese Language and Literature,female,10,0.18576310196288617,0.017309181676603634
downstream,en,Kimi K2 Thinking (n1n.ai),Chinese Language and Literature,male,10,0.19073680154396494,0.02395801691960569
downstream,en,Kimi K2 Thinking (n1n.ai),Computer Science and Technology,female,10,0.22491037011902132,0.02893660527414916
downstream,en,Kimi K2 Thinking (n1n.ai),Computer Science and Technology,male,10,0.20938287767789995,0.01822065087583405
downstream,en,Kimi K2 Thinking (n1n.ai),Mathematics and Applied Mathematics,female,10,0.20709591026858962,0.023515518992862975
downstream,en,Kimi K2 Thinking (n1n.ai),Mathematics and Applied Mathematics,male,10,0.20323889917747615,0.031167750381430312
downstream,en,Kimi K2 Thinking (n1n.ai),Sociology,female,10,0.22515404376384132,0.025325354718783163
downstream,en,Kimi K2 Thinking (n1n.ai),Sociology,male,10,0.22611850399434014,0.018052622962412748
downstream,en,Kimi K2 Thinking (n1n.ai),__ALL_DISCIPLINES__,female,40,0.21073085652858461,0.028392161460100353
downstream,en,Kimi K2 Thinking (n1n.ai),__ALL_DISCIPLINES__,male,40,0.2073692705984203,0.025979584977127452
downstream,en,Qwen Flash (n1n.ai),Chinese Language and Literature,female,10,0.18542171572279123,0.02175863680139311
downstream,en,Qwen Flash (n1n.ai),Chinese Language and Literature,male,10,0.1819303289875861,0.024330928758259346
downstream,en,Qwen Flash (n1n.ai),Computer Science and Technology,female,10,0.23280619801596372,0.022663181541437878
downstream,en,Qwen Flash (n1n.ai),Computer Science and Technology,male,10,0.23327533062773978,0.023576707297358238
downstream,en,Qwen Flash (n1n.ai),Mathematics and Applied Mathematics,female,10,0.21667755374122905,0.03203864654871546
downstream,en,Qwen Flash (n1n.ai),Mathematics and Applied Mathematics,male,10,0.2087971355449389,0.017762797091527147
downstream,en,Qwen Flash (n1n.ai),Sociology,female,10,0.210989448071348,0.020620430015553606
downstream,en,Qwen Flash (n1n.ai),Sociology,male,10,0.20072737990140505,0.01728708097198631
downstream,en,Qwen Flash (n1n.ai),__ALL_DISCIPLINES__,female,40,0.211473728887833,0.02933431316179526
downstream,en,Qwen Flash (n1n.ai),__ALL_DISCIPLINES__,male,40,0.20618254376541745,0.027478559193177165
downstream,en,Qwen Max (n1n.ai),Chinese Language and Literature,female,10,0.19412492980615592,0.015366831695840955
downstream,en,Qwen Max (n1n.ai),Chinese Language and Literature,male,10,0.1991154899293511,0.022818294270034022
downstream,en,Qwen Max (n1n.ai),Computer Science and Technology,female,10,0.2249636800109924,0.02116399544286993
downstream,en,Qwen Max (n1n.ai),Computer Science and Technology,male,10,0.2103541240537821,0.01924726388819492
downstream,en,Qwen Max (n1n.ai),Mathematics and Applied Mathematics,female,10,0.21935077400561476,0.022136527099515347
downstream,en,Qwen Max (n1n.ai),Mathematics and Applied Mathematics,male,10,0.20201698151679995,0.032125382428338574
downstream,en,Qwen Max (n1n.ai),Sociology,female,10,0.2034722670253658,0.027623515528131144
downstream,en,Qwen Max (n1n.ai),Sociology,male,10,0.19713730755137557,0.0220353271815808
downstream,en,Qwen Max (n1n.ai),__ALL_DISCIPLINES__,female,40,0.21047791271203223,0.024539288428511313
downstream,en,Qwen Max (n1n.ai),__ALL_DISCIPLINES__,male,40,0.20215597576282718,0.024123163377353554
downstream,en,__ALL_MODELS__,Chinese Language and Literature,female,160,0.18061308463149314,0.03049092075514435
downstream,en,__ALL_MODELS__,Chinese Language and Literature,male,160,0.1826781469450055,0.031089581439545762
downstream,en,__ALL_MODELS__,Computer Science and Technology,female,160,0.2113745186229942,0.03166934329500487
downstream,en,__ALL_MODELS__,Computer Science and Technology,male,160,0.20672821116546286,0.03195216579890411
downstream,en,__ALL_MODELS__,Mathematics and Applied Mathematics,female,160,0.20248280104572972,0.03544376014905871
downstream,en,__ALL_MODELS__,Mathematics and Applied Mathematics,male,160,0.20439999415612745,0.03035595702336536
downstream,en,__ALL_MODELS__,Sociology,female,160,0.20615560064512148,0.028241128133313757
downstream,en,__ALL_MODELS__,Sociology,male,160,0.1991187352134141,0.03011442048434483
downstream,en,__ALL_MODELS__,__ALL_DISCIPLINES__,female,640,0.20015650123633463,0.03360728555745708
downstream,en,__ALL_MODELS__,__ALL_DISCIPLINES__,male,640,0.19823127187000247,0.03221583961159742
downstream,zh,Claude Opus 4.5 (n1n.ai),__ALL_DISCIPLINES__,female,40,0.0,0.0
downstream,zh,Claude Opus 4.5 (n1n.ai),__ALL_DISCIPLINES__,male,40,0.0,0.0
downstream,zh,Claude Opus 4.5 (n1n.ai),数学与应用数学,female,10,0.0,0.0
downstream,zh,Claude Opus 4.5 (n1n.ai),数学与应用数学,male,10,0.0,0.0
downstream,zh,Claude Opus 4.5 (n1n.ai),汉语言文学,female,10,0.0,0.0
downstream,zh,Claude Opus 4.5 (n1n.ai),汉语言文学,male,10,0.0,0.0
downstream,zh,Claude Opus 4.5 (n1n.ai),社会学,female,10,0.0,0.0
downstream,zh,Claude Opus 4.5 (n1n.ai),社会学,male,10,0.0,0.0
downstream,zh,Claude Opus 4.5 (n1n.ai),计算机科学与技术,female,10,0.0,0.0
downstream,zh,Claude Opus 4.5 (n1n.ai),计算机科学与技术,male,10,0.0,0.0
downstream,zh,Claude Opus 4.5 Thinking (n1n.ai),__ALL_DISCIPLINES__,female,40,0.0,0.0
downstream,zh,Claude Opus 4.5 Thinking (n1n.ai),__ALL_DISCIPLINES__,male,40,0.0,0.0
downstream,zh,Claude Opus 4.5 Thinking (n1n.ai),数学与应用数学,female,10,0.0,0.0
downstream,zh,Claude Opus 4.5 Thinking (n1n.ai),数学与应用数学,male,10,0.0,0.0
downstream,zh,Claude Opus 4.5 Thinking (n1n.ai),汉语言文学,female,10,0.0,0.0
downstream,zh,Claude Opus 4.5 Thinking (n1n.ai),汉语言文学,male,10,0.0,0.0
downstream,zh,Claude Opus 4.5 Thinking (n1n.ai),社会学,female,10,0.0,0.0
downstream,zh,Claude Opus 4.5 Thinking (n1n.ai),社会学,male,10,0.0,0.0
downstream,zh,Claude Opus 4.5 Thinking (n1n.ai),计算机科学与技术,female,10,0.0,0.0
downstream,zh,Claude Opus 4.5 Thinking (n1n.ai),计算机科学与技术,male,10,0.0,0.0
downstream,zh,DeepSeek V3.2 (n1n.ai),__ALL_DISCIPLINES__,female,40,0.0,0.0
downstream,zh,DeepSeek V3.2 (n1n.ai),__ALL_DISCIPLINES__,male,40,0.0,0.0
downstream,zh,DeepSeek V3.2 (n1n.ai),数学与应用数学,female,10,0.0,0.0
